,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
0,Marvin Harrison,16,115,1663,14.5,103.9,425,12,57,20,9,193,9,59.6%,2,1,79,68.7%,1999,IND
1,Jimmy Smith,16,116,1636,14.1,102.3,524,6,62,12,9,177,10,65.5%,1,1,86,74.1%,1999,JAX
2,Randy Moss,16,80,1413,17.7,88.3,367,11,67,19,7,138,7,58.0%,1,1,52,65.0%,1999,MIN
3,Marcus Robinson,16,84,1400,16.7,87.5,430,9,80,18,5,148,9,56.8%,0,0,56,66.7%,1999,CHI
4,Tim Brown,16,90,1344,14.9,84.0,517,6,47,10,6,146,14,61.6%,0,0,64,71.1%,1999,OAK
5,Germane Crowell,16,81,1338,16.5,83.6,439,7,77,16,6,147,12,55.1%,1,1,54,66.7%,1999,DET
6,Muhsin Muhammad,15,96,1253,13.1,83.5,406,8,60,11,5,157,7,61.1%,1,1,63,65.6%,1999,CAR
7,Cris Carter,16,90,1241,13.8,77.6,385,13,68,13,5,136,5,66.2%,0,0,65,72.2%,1999,MIN
8,Michael Westbrook,16,65,1191,18.3,74.4,349,9,65,15,5,116,6,56.0%,2,1,48,73.8%,1999,WSH
9,Amani Toomer,16,79,1183,15.0,73.9,359,6,80,14,4,137,1,57.7%,0,0,51,64.6%,1999,NYG
10,Keyshawn Johnson,16,89,1170,13.2,73.1,411,8,65,10,2,149,8,59.7%,0,0,57,64.0%,1999,NYJ
11,Isaac Bruce,16,77,1165,15.1,72.8,335,12,60,12,4,120,4,64.2%,0,0,54,70.1%,1999,STL
12,Terry Glenn,14,69,1147,16.6,81.9,412,4,67,13,4,117,5,59.0%,2,2,49,71.0%,1999,NE
13,Albert Connell,15,62,1132,18.3,75.5,294,7,62,15,4,123,11,50.4%,1,1,42,67.7%,1999,WSH
14,Johnnie Morton,16,80,1129,14.1,70.6,429,5,48,9,5,133,6,60.2%,0,0,52,65.0%,1999,DET
15,Qadry Ismail,16,68,1105,16.3,69.1,338,6,76,10,3,141,5,48.2%,2,0,49,72.1%,1999,BAL
16,Raghib Ismail,16,80,1097,13.7,68.6,384,6,76,9,3,132,8,60.6%,1,1,40,50.0%,1999,DAL
