index,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
0.0,"Marvin Harrison",16,115,1663,14.5,103.9,425,12,57,20,9,193,9,59.6%,2,1,79,68.7%,1999.0,IND
1.0,"Jimmy Smith",16,116,1636,14.1,102.3,524,6,62,12,9,177,10,65.5%,1,1,86,74.1%,1999.0,JAX
2.0,"Randy Moss",16,80,1413,17.7,88.3,367,11,67,19,7,138,7,58.0%,1,1,52,65.0%,1999.0,MIN
3.0,"Marcus Robinson",16,84,1400,16.7,87.5,430,9,80,18,5,148,9,56.8%,0,0,56,66.7%,1999.0,CHI
4.0,"Tim Brown",16,90,1344,14.9,84.0,517,6,47,10,6,146,14,61.6%,0,0,64,71.1%,1999.0,OAK
5.0,"Germane Crowell",16,81,1338,16.5,83.6,439,7,77,16,6,147,12,55.1%,1,1,54,66.7%,1999.0,DET
6.0,"Muhsin Muhammad",15,96,1253,13.1,83.5,406,8,60,11,5,157,7,61.1%,1,1,63,65.6%,1999.0,CAR
7.0,"Cris Carter",16,90,1241,13.8,77.6,385,13,68,13,5,136,5,66.2%,0,0,65,72.2%,1999.0,MIN
9.0,"Amani Toomer",16,79,1183,15.0,73.9,359,6,80,14,4,137,1,57.7%,0,0,51,64.6%,1999.0,NYG
10.0,"Keyshawn Johnson",16,89,1170,13.2,73.1,411,8,65,10,2,149,8,59.7%,0,0,57,64.0%,1999.0,NYJ
11.0,"Isaac Bruce",16,77,1165,15.1,72.8,335,12,60,12,4,120,4,64.2%,0,0,54,70.1%,1999.0,STL
12.0,"Terry Glenn",14,69,1147,16.6,81.9,412,4,67,13,4,117,5,59.0%,2,2,49,71.0%,1999.0,NE
14.0,"Johnnie Morton",16,80,1129,14.1,70.6,429,5,48,9,5,133,6,60.2%,0,0,52,65.0%,1999.0,DET
15.0,"Qadry Ismail",16,68,1105,16.3,69.1,338,6,76,10,3,141,5,48.2%,2,0,49,72.1%,1999.0,BAL
16.0,"Raghib Ismail",16,80,1097,13.7,68.6,384,6,76,9,3,132,8,60.6%,1,1,40,50.0%,1999.0,DAL
17.0,"Patrick Jeffers",15,63,1082,17.2,72.1,462,12,88,11,5,101,4,62.4%,0,0,43,68.3%,1999.0,CAR
18.0,"Antonio Freeman",16,74,1074,14.5,67.1,338,6,51,9,3,136,9,54.4%,1,0,51,68.9%,1999.0,GB
19.0,"Bill Schroeder",16,74,1051,14.2,65.7,284,5,51,10,1,123,8,60.2%,3,1,52,70.3%,1999.0,GB
20.0,"Marshall Faulk",16,87,1048,12.1,65.5,930,5,57,10,1,104,6,83.7%,0,0,40,46.0%,1999.0,STL
21.0,"Tony Martin",16,67,1037,15.5,64.8,214,5,69,10,5,117,6,57.3%,0,0,51,76.1%,1999.0,MIA
22.0,"Darnay Scott",16,68,1022,15.0,63.9,328,7,76,5,2,124,6,54.8%,0,0,46,67.6%,1999.0,CIN
23.0,"Rod Smith",15,79,1020,12.9,68.0,360,4,71,8,3,139,8,56.8%,1,1,48,60.8%,1999.0,DEN
24.0,"Ed McCaffrey",15,71,1018,14.3,67.9,314,7,78,8,4,128,3,55.5%,0,0,46,64.8%,1999.0,DEN
25.0,"Terance Mathis",16,81,1016,12.5,63.5,190,6,52,4,1,156,6,51.9%,0,0,57,70.4%,1999.0,ATL
26.0,"Ike Hilliard",16,72,996,13.8,62.3,262,3,46,10,3,122,3,59.0%,0,0,50,69.4%,1999.0,NYG
