,name,season,age,draft_pos,team,weight,bmi,games,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,pro_bowls,all_pros,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DVOA,DYAR,position.1,Hand Size in,Arm Length in,40 Yard,Vert Leap in,Broad Jump in,Shuttle,3Cone,60Yd Shuttle,team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season,height_inches,start_ratio,dpis_drawn,dpi_yards,pct_team_tgts,pct_team_receptions,pct_of_team_passyards,pct_team_touchdowns,years_in_league,dropK,yacK,base,td_points,compilation
0,Aaron Dobson,2013.0,22.0,2-59,NE,210.0,26.2,12.0,0.0,0.0,0.0,0.0,0.0,72.0,37.0,519.0,14.03,4.0,43.3,0.514,7.21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,1.0,207.0,25.0,0.676,81.0,4.0,7.0,583.0,-0.054,0.46,wr,,,0.0,,,,,,26.0,4528.0,691.0,417.0,503.0,22.0,2013.0,75.0,0.75,5.0,81.0,0.104196816208,0.0887290167866,0.114620141343,0.153846153846,0.0,2.07944154168,82.5606936416,0.0821687204007,0.27032699841,10.1091610289
1,Aaron Dobson,2015.0,24.0,2-59,NE,210.0,26.2,8.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,141.0,10.85,0.0,17.6,0.619,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,38.0,9.0,0.692,24.0,0.0,1.0,214.0,0.151,0.49,wr,,,0.0,,,,,,39.0,5181.0,727.0,459.0,510.0,22.0,2013.0,75.0,0.375,2.0,66.0,0.0288858321871,0.0283224400871,0.0272148233932,0.0,2.0,0.69314718056,10.2411347518,0.0096674670131,0.0,0.96674670131
2,Aaron Moorehead,2003.0,23.0,UDFA,IND,200.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,101.0,14.43,0.0,14.4,0.7,10.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,16.0,4.0,0.571,35.0,2.0,1.0,82.0,-0.025,0.09,wr,,,0.0,,,,,,38.0,5073.0,677.0,452.0,540.0,23.0,2003.0,75.0,0.0,0.0,0.0,0.0147710487445,0.0154867256637,0.0199093238715,0.0,0.0,0.69314718056,2.53465346535,0.00240776925379,0.0,0.240776925379
3,Aaron Moorehead,2005.0,25.0,UDFA,IND,200.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,75.0,10.71,0.0,37.5,0.636,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,18.0,3.0,0.429,24.0,0.0,1.0,73.0,-0.093,0.03,wr,,,0.0,,,,,,32.0,4343.0,553.0,369.0,457.0,23.0,2003.0,75.0,0.0,0.0,0.0,0.0198915009042,0.0189701897019,0.0172691687773,0.0,2.0,0.69314718056,4.32,0.0022251761871,0.0,0.22251761871
4,Aaron Moorehead,2006.0,26.0,UDFA,IND,200.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,82.0,10.25,1.0,6.8,0.5,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,12.0,5.0,0.625,36.0,1.0,0.0,96.0,-0.139,-0.01,wr,,,0.0,,,,,,34.0,5285.0,711.0,460.0,532.0,23.0,2003.0,75.0,0.0,0.0,0.0,0.0225035161744,0.0173913043478,0.0155156102176,0.0294117647059,3.0,0.0,1.75609756098,0.00184167640427,0.0129200403652,0.274607922983
5,Aaron Moorehead,2007.0,27.0,UDFA,IND,200.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,65.0,8.13,0.0,8.1,0.364,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,12.0,4.0,0.5,16.0,0.0,2.0,55.0,-0.459,-0.56,wr,,,0.0,,,,,,35.0,4435.0,599.0,388.0,474.0,23.0,2003.0,75.0,0.25,0.0,0.0,0.0367278797997,0.020618556701,0.0146561443067,0.0,4.0,1.09861228867,2.21538461538,0.00031143608171,0.0,0.031143608171
6,Adam Thielen,2014.0,24.0,UDFA,MIN,200.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,137.0,17.13,1.0,8.6,0.615,10.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,33.0,7.0,0.875,44.0,1.0,0.0,142.0,0.313,0.43,wr,,,0.0,,,,,,17.0,3244.0,517.0,322.0,325.0,24.0,2014.0,75.0,0.125,0.0,0.0,0.0251450676983,0.0248447204969,0.0422318125771,0.0588235294118,0.0,0.0,7.94890510949,0.0100201351265,0.0258400807304,1.18289407776
7,Adam Thielen,2015.0,25.0,UDFA,MIN,200.0,25.0,16.0,4.0,89.0,22.25,0.0,5.6,18.0,12.0,144.0,12.0,0.0,9.0,0.667,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,51.0,5.0,0.417,30.0,1.0,0.0,114.0,-0.084,0.06,wr,,,0.0,,,,,,14.0,3053.0,478.0,311.0,374.0,24.0,2014.0,75.0,0.125,0.0,0.0,0.0376569037657,0.0385852090032,0.0471667212578,0.0,1.0,0.0,18.0625,0.0104215854101,0.0,1.04215854101
8,Ahmad Merritt,2002.0,25.0,UDFA,CHI,195.0,28.0,12.0,1.0,5.0,5.0,0.0,0.4,26.0,14.0,100.0,7.14,0.0,8.3,0.538,3.85,3.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,41.0,5.0,0.357,25.0,1.0,2.0,59.0,-0.483,-0.73,wr,,,0.0,,,,,,22.0,3051.0,543.0,310.0,281.0,24.0,2001.0,70.0,0.25,1.0,5.0,0.0478821362799,0.0451612903226,0.0327761389708,0.0,1.0,1.09861228867,16.81,0.00258572870551,0.0,0.258572870551
9,Ahmad Merritt,2003.0,26.0,UDFA,CHI,195.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,50.0,16.67,0.0,3.3,0.3,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,13.0,2.0,0.667,25.0,1.0,2.0,29.0,-0.417,-0.22,wr,,,0.0,,,,,,12.0,2617.0,515.0,271.0,283.0,24.0,2001.0,70.0,0.0666666666667,0.0,0.0,0.0194174757282,0.0110701107011,0.019105846389,0.0,2.0,1.09861228867,3.38,0.000547740701021,0.0,0.0547740701021
