,Unnamed: 0,name,season,age,draft_pos,team,weight,bmi,games,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,pro_bowls,all_pros,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DVOA,DYAR,position.1,Hand Size in,Arm Length in,40 Yard,Vert Leap in,Broad Jump in,Shuttle,3Cone,60Yd Shuttle,team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,rookie_age,rookie_season,height_inches,start_ratio,dpis_drawn,dpi_yards,years_in_league,pct_team_tgts,pct_team_receptions,pct_of_team_passyards,pct_team_touchdowns
0,0,Marcus Nash,1999.0,23.0,1-30,2TM,195.0,24.4,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,23.0,1999.0,75.0,0.333333333333,0.0,0.0,0.0,,,,
1,1,Bryan Still,1999.0,25.0,2-41,2TM,174.0,24.3,7.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,110.0,11.0,0.0,15.7,0.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,25.0,1999.0,71.0,0.142857142857,0.0,0.0,0.0,,,,
2,2,Yo Murphy,1999.0,26.0,UDFA,2TM,187.0,26.8,8.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,28.0,7.0,0.0,3.5,0.5,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,26.0,1999.0,70.0,0.0,0.0,0.0,0.0,,,,
3,3,Desmond Howard,1999.0,29.0,1-4,2TM,185.0,26.5,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,29.0,1999.0,70.0,0.0,0.0,0.0,0.0,,,,
4,4,Roell Preston,1999.0,27.0,5-145,2TM,187.0,26.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,27.0,1999.0,70.0,0.0,0.0,0.0,0.0,,,,
5,5,Charles Jordan,1999.0,30.0,UDFA,2TM,182.0,25.4,8.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,60.0,20.0,0.0,7.5,0.3,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,30.0,1999.0,71.0,0.125,0.0,0.0,0.0,,,,
6,6,Chris Thomas,1999.0,28.0,UDFA,2TM,185.0,25.1,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.8,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,28.0,1999.0,72.0,0.0,0.0,0.0,0.0,,,,
7,7,Nate Jacquet,2000.0,25.0,5-150,2TM,185.0,25.1,12.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,25.0,25.0,0.0,2.1,0.333,8.33,3.0,2.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,24.0,1999.0,72.0,0.0,0.0,0.0,1.0,,,,
8,8,Mikhael Ricks,2000.0,26.0,2-59,2TM,260.0,30.8,4.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,35.0,11.67,0.0,8.8,0.333,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,25.0,1999.0,77.0,0.25,0.0,0.0,1.0,,,,
9,9,Damon Dunn,2000.0,24.0,UDFA,2TM,182.0,26.9,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,1.5,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,23.0,1999.0,69.0,0.0,0.0,0.0,1.0,,,,
