name,pca_1,pca_2,pca_5,pca_8,pca_13,pca_16,pca_18,pca_19,pca_21,pca_26,targets_2,receptions_2,rec_yards_2,rec_tds_2,rec_ypg_2,100yd_gms_2,first_down_ctchs_2,long_ctch_2,drops_2,DYAR_2,start_ratio_2,pct_team_tgts_2,pct_team_receptions_2,pct_of_team_passyards_2,pct_team_touchdowns_2,dropK_2,yacK_2,td_points_2,compilation_2,avg_starts,categories
A.J. Green,12.1947077465,3.61524518028,4.44898104817,2.28448703669,-0.939159999797,-0.291759440303,-0.484937457046,-0.654142423204,0.0909454268876,0.516437657862,178.0,98.0,1426.0,11.0,89.1,6.0,65.0,82.0,7.0,5.2642695164,1.0,0.278996865204,0.249363867684,0.319587628866,0.323529411765,2.07944154168,123.11430575,1.56253920113,82.9354911877,1.0,quality starter
Aaron Moorehead,-5.21835078908,-1.94414268005,-1.19040586026,1.6324290729,0.337269700211,0.569376742675,-0.316699029304,-0.254460750668,0.426199341848,-0.446848971416,11.0,7.0,75.0,0.0,37.5,0.0,3.0,24.0,1.0,0.03,0.0,0.0198915009042,0.0189701897019,0.0172691687773,0.0,0.69314718056,4.32,0.0,0.22251761871,0.0,below average
Ahmad Merritt,-4.79387527682,-1.32337712842,0.835810833093,0.0697544544753,-0.255422115372,-1.07764636746,0.581119148841,-0.413100698753,0.201715922863,-0.359239511543,10.0,3.0,50.0,0.0,3.3,0.0,2.0,25.0,2.0,-0.22,0.0666666666667,0.0194174757282,0.0110701107011,0.019105846389,0.0,1.09861228867,3.38,0.0,0.0547740701021,0.105555555556,below average
Albert Connell,8.14835965325,-5.72489026254,-1.54653773234,-0.640077112065,-0.553639933057,-3.83916835782,0.637663367206,3.46983854885,1.93136614568,-1.07437840443,28.0,12.0,191.0,2.0,17.4,0.0,7.0,46.0,2.0,0.02,0.0909090909091,0.0498220640569,0.038338658147,0.0543540125213,0.0740740740741,1.09861228867,4.40314136126,0.0650460151068,1.50316232843,0.591414141414,below average
Alex Bannister,-5.90776535038,-2.82482069,1.41821476479,0.736908240281,1.96319402717,-0.72069019538,0.325514645726,0.219189385874,0.62805650858,0.272270621804,12.0,3.0,61.0,1.0,3.8,0.0,3.0,31.0,2.0,-0.22,0.125,0.0212014134276,0.00877192982456,0.0156050140701,0.037037037037,1.09861228867,4.19672131148,0.0162615037767,0.198898475365,0.0625,below average
Alshon Jeffery,6.03507568471,6.98221153091,2.25917448664,-0.068196665454,2.35705720744,-0.85891550912,0.109326262439,-0.676178175511,-0.242268698967,1.54166259463,145.0,85.0,1133.0,10.0,70.8,3.0,60.0,74.0,5.0,2.78,1.0,0.238095238095,0.214646464646,0.298786919831,0.333333333333,1.79175946923,218.891438658,1.4635353399,70.7530367524,0.825,quality starter
Alvis Whitted,-4.54302457958,-1.62352728411,1.20962557509,-0.2384502408,-0.409855668086,0.618195811608,-0.752832396655,0.247445097542,0.55353075587,-0.46126394074,7.0,2.0,17.0,0.0,1.5,0.0,1.0,10.0,0.0,0.151477825953,0.0,0.0131086142322,0.00623052959502,0.00524691358025,0.0,0.0,0.941176470588,0.0,0.0290095237921,0.0863095238095,below average
Amani Toomer,10.7932659567,-2.07909328153,1.31697178788,-0.260606969693,-0.609427539757,-2.27081728481,0.377206176001,0.97365604757,0.52598953386,3.56659480038,141.0,72.0,1054.0,5.0,65.9,2.0,55.0,60.0,10.0,1.5,0.875,0.24823943662,0.220183486239,0.296233839236,0.263157894737,2.3978952728,69.165085389,0.577711318383,49.5244526956,0.916666666667,all_pro
Andre Holmes,-3.31170155966,2.71748480577,-1.78151607621,-2.77900857124,-0.462494048491,0.246555086239,0.921320120432,-0.182611243136,0.071448386558,-0.892545895601,99.0,47.0,693.0,4.0,43.3,1.0,32.0,77.0,6.0,0.42,0.8125,0.157392686804,0.128767123288,0.211603053435,0.181818181818,1.94591014906,60.6421356421,0.319316801433,17.1574222298,0.404166666667,below average
Andre Johnson,8.92012051552,-1.814101657,1.79297480202,0.477850185068,-3.55930963817,1.06553674607,0.963399080911,-1.69463925513,-1.30211135238,-0.0475027434092,163.0,103.0,1147.0,5.0,71.7,4.0,55.0,53.0,11.0,1.68,1.0,0.338877338877,0.313069908815,0.412886969042,0.357142857143,2.48490664979,184.481255449,0.784036789233,93.0697793063,1.0,quality starter
Andre King,-4.20297278273,-3.3893322276,-1.81446102233,-0.392886798895,-0.294281705076,1.60249736617,-0.036433367627,-0.148546509137,-0.812821151732,0.289999670071,14.0,9.0,88.0,0.0,5.9,0.0,5.0,28.0,0.0,0.06,0.0,0.0275049115914,0.0287539936102,0.03105151729,0.0,0.0,12.375,0.0,0.488232230248,0.030303030303,below average
Andre Roberts,1.17086888635,3.41455645748,-0.407672512772,-1.73237700255,0.331754322113,-0.346025529965,0.371904745706,-1.77168808711,-0.129762233166,0.498282538746,114.0,64.0,759.0,5.0,50.6,2.0,40.0,46.0,8.0,0.55,1.0,0.1875,0.189910979228,0.252579034942,0.454545454545,2.19722457734,75.2582345191,0.997865004478,28.445893466,0.711111111111,below average
Andrew Hawkins,-0.342516466821,3.12820359645,-0.590306417868,-1.52452110295,-0.534878216099,0.172206853146,0.543669317355,0.709004030505,0.269412672507,-0.25349419681,18.0,12.0,199.0,0.0,24.9,0.0,7.0,50.0,2.0,0.31,0.0,0.0282131661442,0.030534351145,0.0445988346033,0.0,1.09861228867,92.9447236181,0.0,1.32661328453,0.047619047619,quality starter
Anquan Boldin,10.3850703053,-4.1985516743,1.98860343196,0.628361685136,-3.67508959639,-0.0478266840754,0.771128680057,-1.30538702497,-0.927668740821,-0.781685794135,171.0,102.0,1402.0,7.0,100.1,8.0,68.0,54.0,6.0,2.21,1.0,0.255223880597,0.243436754177,0.315979265269,0.333333333333,1.94591014906,209.532097004,1.02447473793,67.8218167493,0.966666666667,all_pro
Anthony Gonzalez,3.49756857543,0.590878027858,-2.05428749127,-0.308589389037,0.363538845544,-0.0477570889347,1.02635087801,1.93554202248,0.100890133888,-0.689900056388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388194397369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605769230769,below average
Antonio Brown,-2.56780594006,1.5826037512,1.45524012637,-0.114650892914,0.656517169943,0.274609168797,0.293045727937,-0.173018340701,0.247177268071,-0.247348806897,53.5,33.0,393.5,2.5,30.25,0.0,21.5,30.0,2.0,0.565895259991,0.384615384615,0.0932690742128,0.093220338983,0.103908106681,0.0925925925925,0.804718956215,80.9714104195,0.203268797208,32.4230591808,0.159455128205,all_pro
