index,rk,name,season,age,draft_pos,team,league,height,weight,bmi,games,games_started,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,years_in_league,pro_bowls,all_pros,av,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DPI,DVOA,DYAR,position,"Hand Size in","Arm Length in","40 Yard","Vert Leap in","Broad Jump in",Shuttle,3Cone,"60Yd Shuttle",team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season
2524.0,2525.0,"Yo Murphy",1999.0,26.0,,2TM,NFL,5-10,187.0,26.8,8.0,0.0,0.0,0.0,,0.0,0.0,8.0,4.0,28.0,7.0,0.0,3.5,50.0%,3.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,7,1,25.0%,9,0,2,,,,,,,,,,,,,,,,,,,26.0,1999.0
2962.0,2963.0,"Chris Thomas",1999.0,28.0,,2TM,NFL,6-0,185.0,25.1,8.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.8,100.0%,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,3,0,0.0%,6,0,0,,,,,,,,,,,,,,,,,,,28.0,1999.0
3192.0,3193.0,"Desmond Howard",1999.0,29.0,1-4,2TM,NFL,5-10,185.0,26.5,13.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,0,0,0,-,0,0,0,,,,,,,,,,,,,,,,,,,29.0,1999.0
2073.0,2074.0,"Bryan Still",1999.0,25.0,2-41,2TM,NFL,5-11,174.0,24.3,7.0,1.0,0.0,0.0,,0.0,0.0,25.0,10.0,110.0,11.0,0.0,15.7,40.0%,4.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,0,26,7,70.0%,28,1,2,,,,,,,,,,,,,,,,,,,25.0,1999.0
3341.0,3342.0,"Roell Preston",1999.0,27.0,5-145,2TM,NFL,5-10,187.0,26.8,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0%,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,1999.0
3312.0,3313.0,"Marcus Nash",1999.0,23.0,1-30,2TM,NFL,6-3,195.0,24.4,3.0,1.0,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,0,0,-,0,0,1,,,,,,,,,,,,,,,,,,,23.0,1999.0
2605.0,2606.0,"Charles Jordan",1999.0,30.0,,2TM,NFL,5-11,182.0,25.4,8.0,1.0,0.0,0.0,,0.0,0.0,10.0,3.0,60.0,20.0,0.0,7.5,30.0%,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,11,2,66.7%,43,1,0,,,,,,,,,,,,,,,,,,,30.0,1999.0
2842.0,2843.0,"Damon Dunn",2000.0,24.0,,2TM,NFL,5-9,182.0,26.9,4.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,6.0,6.0,0.0,1.5,100.0%,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,0,1,100.0%,6,0,0,,,,,,,,,,,,,,,,,,,23.0,1999.0
3222.0,3223.0,"Malcolm Johnson",2000.0,23.0,5-166,2TM,NFL,6-5,215.0,25.5,5.0,0.0,0.0,0.0,,0.0,0.0,8.0,0.0,0.0,,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,0,0,-,0,0,1,,,,,,,,,,,,,,,,,,,22.0,1999.0
2640.0,2641.0,"Mikhael Ricks",2000.0,26.0,2-59,2TM,NFL,6-5,260.0,30.8,4.0,1.0,0.0,0.0,,0.0,0.0,9.0,3.0,35.0,11.67,0.0,8.8,33.3%,3.89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,8,2,66.7%,23,0,1,,,,,,,,,,,,,,,,,,,25.0,1999.0
2881.0,2882.0,"Nate Jacquet",2000.0,25.0,5-150,2TM,NFL,6-0,185.0,25.1,12.0,0.0,0.0,0.0,,0.0,0.0,3.0,1.0,25.0,25.0,0.0,2.1,33.3%,8.33,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,6,0,0.0%,25,1,0,,,,,,,,,,,,,,,,,,,24.0,1999.0
2481.0,2482.0,"Aveion Cason",2001.0,22.0,,2TM,NFL,5-10,204.0,29.3,6.0,0.0,11.0,31.0,2.82,0.0,5.2,4.0,4.0,32.0,8.0,0.0,5.3,100.0%,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,23,0,0.0%,9,0,0,,,,,,,,,,,,,,,,,,,22.0,2001.0
1574.0,1575.0,"Bert Emanuel",2001.0,31.0,2-45,2TM,NFL,5-10,180.0,25.8,8.0,5.0,0.0,0.0,,0.0,0.0,45.0,21.0,246.0,11.71,0.0,30.8,46.7%,5.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,wr,0,59,14,66.7%,29,2,5,,,,,,,,,,,,,,,,,,,29.0,1999.0
2621.0,2622.0,"Glyn Milburn",2001.0,30.0,2-43,2TM,NFL,5-8,177.0,26.9,10.0,0.0,3.0,3.0,1.0,0.0,0.3,4.0,3.0,9.0,3.0,0.0,0.9,75.0%,2.25,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,6,0,0.0%,7,0,1,,,,,,,,,,,,,,,,,,,28.0,1999.0
2770.0,2771.0,"Tony Simmons",2001.0,27.0,2-52,2TM,NFL,6-1,210.0,27.7,7.0,0.0,0.0,0.0,,0.0,0.0,6.0,2.0,17.0,8.5,0.0,2.4,33.3%,2.83,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,0,1,50.0%,12,0,0,,,,,,,,,,,,,,,,,,,25.0,1999.0
2265.0,2266.0,"Wane McGarity",2001.0,25.0,4-118,2TM,NFL,5-8,197.0,30.0,12.0,1.0,0.0,0.0,,0.0,0.0,12.0,7.0,43.0,6.14,1.0,3.6,58.3%,3.58,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,15,3,42.9%,11,0,1,,,,,,,,,,,,,,,,,,,23.0,1999.0
1254.0,1255.0,"Eddie Kennison",2001.0,28.0,1-18,2TM,NFL,6-1,201.0,26.5,13.0,7.0,5.0,22.0,4.4,0.0,1.7,50.0,31.0,491.0,15.84,1.0,37.8,62.0%,9.82,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,wr,1,132,17,54.8%,65,6,5,,,,,,,,,,,,,,,,,,,26.0,1999.0
1785.0,1786.0,"Kevin Lockett",2002.0,28.0,2-47,2TM,NFL,6-0,186.0,25.2,13.0,4.0,0.0,0.0,,0.0,0.0,42.0,16.0,205.0,12.81,4.0,15.8,38.1%,4.88,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,wr,0,40,10,62.5%,35,2,3,,,,,,,,,,,,,,,,,,,25.0,1999.0
2405.0,2406.0,"Jacquez Green",2002.0,26.0,2-34,2TM,NFL,5-10,172.0,24.7,10.0,0.0,2.0,9.0,4.5,0.0,0.9,21.0,5.0,94.0,18.8,0.0,9.4,23.8%,4.48,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,wr,0,30,4,80.0%,44,1,1,,,,,,,,,,,,,,,,,,,23.0,1999.0
1416.0,1417.0,"Willie Jackson",2002.0,31.0,4-109,2TM,NFL,6-1,212.0,28.0,12.0,2.0,0.0,0.0,,0.0,0.0,53.0,25.0,257.0,10.28,1.0,21.4,47.2%,4.85,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,wr,0,59,14,56.0%,29,1,1,,,,,,,,,,,,,,,,,,,28.0,1999.0
