,name,season,age,draft_pos,team,weight,bmi,games,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,pro_bowls,all_pros,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DVOA,DYAR,position.1,Hand Size in,Arm Length in,40 Yard,Vert Leap in,Broad Jump in,Shuttle,3Cone,60Yd Shuttle,team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season,height_inches,start_ratio,dpis_drawn,dpi_yards,pct_team_tgts,pct_team_receptions,pct_of_team_passyards,pct_team_touchdowns,years_in_league
0,Rob Moore,1999.0,31.0,1-1,ARI,203.0,25.4,14.0,0.0,0.0,0.0,0.0,0.0,96.0,37.0,621.0,16.78,5.0,44.4,0.385,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,-0.15,-0.18,wr,,,0,,,,,,11.0,2803.0,558.0,287.0,245.0,31.0,1999.0,75.0,0.714285714286,6.0,88.0,0.172043010753,0.128919860627,0.221548341063,0.454545454545,0.0
1,David Boston,1999.0,21.0,1-8,ARI,240.0,30.8,16.0,5.0,0.0,0.0,0.0,0.0,81.0,40.0,473.0,11.83,2.0,29.6,0.494,5.84,2.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,-0.243,-0.73,wr,,,4.47,37.0,116.0,4.09,7.2,,11.0,2803.0,558.0,287.0,245.0,21.0,1999.0,74.0,0.5,1.0,24.0,0.145161290323,0.1393728223,0.168747770246,0.181818181818,0.0
2,Mac Cody,1999.0,27.0,UDFA,ARI,182.0,25.4,13.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,60.0,10.0,1.0,4.6,0.545,5.45,2.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.06,0.17,wr,,,0,,,,,,11.0,2803.0,558.0,287.0,245.0,27.0,1999.0,71.0,0.0,1.0,20.0,0.0197132616487,0.0209059233449,0.0214056368177,0.0909090909091,0.0
3,Frank Sanders,1999.0,26.0,2-47,ARI,215.0,27.6,16.0,0.0,0.0,0.0,0.0,0.0,153.0,79.0,954.0,12.08,1.0,59.6,0.516,6.24,2.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,-0.17,-0.52,wr,,,0,,,,,,11.0,2803.0,558.0,287.0,245.0,26.0,1999.0,74.0,1.0,1.0,4.0,0.274193548387,0.275261324042,0.340349625401,0.0909090909091,0.0
4,Mac Cody,2000.0,28.0,UDFA,ARI,182.0,25.4,15.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0,212.0,12.47,0.0,14.1,0.63,7.85,4.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.095,0.47,wr,,,0,,,,,,16.0,3250.0,554.0,316.0,210.0,27.0,1999.0,71.0,0.0666666666667,0.0,0.0,0.0487364620939,0.0537974683544,0.0652307692308,0.0,1.0
5,Frank Sanders,2000.0,27.0,2-47,ARI,215.0,27.6,16.0,0.0,0.0,0.0,0.0,0.0,116.0,54.0,749.0,13.87,6.0,46.8,0.466,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.0,-0.062,0.6,wr,,,0,,,,,,16.0,3250.0,554.0,316.0,210.0,26.0,1999.0,74.0,1.0,3.0,63.0,0.209386281588,0.170886075949,0.230461538462,0.375,1.0
6,MarTay Jenkins,2001.0,26.0,6-193,ARI,201.0,27.3,13.0,3.0,4.0,1.33,0.0,0.3,54.0,32.0,518.0,16.19,3.0,39.8,0.593,9.59,5.0,2.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.248,1.6,wr,,,4.51,39.5,118.0,4.18,7.3,,18.0,3449.0,526.0,304.0,295.0,24.0,1999.0,72.0,0.230769230769,2.0,26.0,0.102661596958,0.105263157895,0.150188460423,0.166666666667,2.0
7,Frank Sanders,2001.0,28.0,2-47,ARI,215.0,27.6,15.0,0.0,0.0,0.0,0.0,0.0,76.0,41.0,618.0,15.07,2.0,41.2,0.539,8.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,-0.017,0.64,wr,,,0,,,,,,18.0,3449.0,526.0,304.0,295.0,26.0,1999.0,74.0,0.866666666667,0.0,0.0,0.144486692015,0.134868421053,0.179182371702,0.111111111111,2.0
8,Arnold Jackson,2001.0,24.0,UDFA,ARI,168.0,25.5,16.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,44.0,4.89,0.0,2.8,0.6,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,-0.545,-0.5,wr,,,0,,,,,,18.0,3449.0,526.0,304.0,295.0,24.0,2001.0,68.0,0.125,0.0,0.0,0.0285171102662,0.0296052631579,0.0127573209626,0.0,0.0
9,Jason McAddley,2002.0,23.0,5-149,ARI,200.0,25.7,9.0,0.0,0.0,0.0,0.0,0.0,69.0,25.0,362.0,14.48,1.0,40.2,0.362,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,-0.301,-0.97,wr,,,4.47,36.5,123.0,4.09,6.83,,18.0,2740.0,548.0,291.0,262.0,23.0,2002.0,74.0,0.888888888889,3.0,29.0,0.125912408759,0.085910652921,0.132116788321,0.0555555555556,0.0
